"UF";"Cargo";"Número do candidato";"Nome do candidato";"Nome do candidato (urna)";"Partido";"Coligação";"Turno";"Situação de totalização";"Votos nominais do candidato";"Voto em trânsito";"Votos válidos por abrangência";"% votos válidos";"Data última totalização"
"SE";"Prefeito";"40";"ANTONIO CARLOS VALADARES FILHO";"VALADARES FILHO";"PSB";"PSB / PP / PSC / PSL / PTB / PRTB / PMB / PR / PTC / PROS / PDT / PSDC / PPL / SD";"2";"Não eleito";"134435";"0";"280706";"47,89";"30/10/2016 18:38:08"
"SP";"Prefeito";"40";"GUSTAVO HENRIC COSTA";"GUTI";"PSB";"PSB / PSC / PPS / REDE";"2";"Eleito";"481541";"0";"3419660";"14,08";"30/10/2016 20:30:23"
"SP";"Prefeito";"45";"PAULO HENRIQUE PINTO SERRA";"PAULO SERRA";"PSDB";"PSDB / PTB / REDE / PV / PHS";"2";"Eleito";"276575";"0";"3419660";"8,09";"30/10/2016 19:48:31"
"SP";"Prefeito";"19";"ROGERIO LINS WANDERLEY";"ROGÉRIO LINS";"PTN";"PTN / PR / PRP";"2";"Eleito";"218779";"0";"3419660";"6,4";"30/10/2016 19:59:06"
"SP";"Prefeito";"45";"ORLANDO MORANDO JUNIOR";"ORLANDO MORANDO";"PSDB";"REDE / PEN / PHS / PMB / PRP / PRTB / PSC / PSDB / SD";"2";"Eleito";"213661";"0";"3419660";"6,25";"30/10/2016 20:22:47"
"SP";"Prefeito";"25";"JOSE ANTONIO CALDINI CRESPO";"CRESPO";"DEM";"PDT / PTB / PMDB / PTN / PPS / DEM / PMB / PTC / PV / SD / PSB / PSD / PP";"2";"Eleito";"182833";"0";"3419660";"5,35";"30/10/2016 19:56:18"
"SP";"Prefeito";"45";"ANTONIO DUARTE NOGUEIRA JUNIOR";"DUARTE NOGUEIRA";"PSDB";"PSDB / SD / PPS / PTC / PHS / DEM / PP";"2";"Eleito";"147705";"0";"3419660";"4,32";"30/10/2016 19:36:27"
"SP";"Prefeito";"23";"ALEX SPINELLI MANENTE";"ALEX MANENTE";"PPS";"PPS / PRB / PMN / DEM / PTB / PV / PPL";"2";"Não eleito";"142817";"0";"3419660";"4,18";"30/10/2016 20:22:47"
"SP";"Prefeito";"12";"ANTONIO JORGE PEREIRA LAPAS";"LAPAS";"PDT";"PDT / PC do B / PHS / PMDB / PP / PRB / PROS / PRTB / PSD / PSB / PSC / PSDC / PSL / PTB / PTC / PT do B / PV";"2";"Não eleito";"138625";"0";"3419660";"4,05";"30/10/2016 19:59:06"
"SP";"Prefeito";"50";"RAUL MARCELO DE SOUZA";"RAUL MARCELO";"PSOL";"PSOL";"2";"Não eleito";"129784";"0";"3419660";"3,8";"30/10/2016 19:56:18"
"SP";"Prefeito";"45";"LUIZ FERNANDO ARANTES MACHADO";"LUIZ FERNANDO MACHADO";"PSDB";"PSDB / PV / DEM / PR / PRP / PSB / PTB / PTN";"2";"Eleito";"116019";"0";"3419660";"3,39";"30/10/2016 19:57:35"
"SP";"Prefeito";"43";"LAURO MICHELS SOBRINHO";"LAURO MICHELS";"PV";"PV / PSDB / PC do B / PSB / PRP / PRTB / PP / PROS / PSL / DEM / PPS / PDT / PEN / PSDC / PPL";"2";"Eleito";"113585";"0";"3419660";"3,32";"30/10/2016 20:06:01"
"SP";"Prefeito";"40";"ATILA CESAR MONTEIRO JACOMUSSI";"ATILA JACOMUSSI";"PSB";"PMDB / PSL / DEM / PSB / PEN / PC do B / PRP / SD / PR / PRTB / PSDC";"2";"Eleito";"112788";"0";"3419660";"3,3";"30/10/2016 19:51:19"
"SP";"Prefeito";"12";"RICARDO AUGUSTO MACHADO DA SILVA";"RICARDO SILVA";"PDT";"PDT / PMDB / PSC / PR / PEN / PROS / PRB";"2";"Não eleito";"111697";"0";"3419660";"3,27";"30/10/2016 19:36:27"
"SP";"Prefeito";"55";"CLODOALDO ARMANDO GAZZETTA";"GAZZETTA";"PSD";"PP / PSD / PTB / PSB / DEM / PROS / PC do B / PSC / PEN / REDE";"2";"Eleito";"105751";"0";"3419660";"3,09";"30/10/2016 19:23:04"
"SP";"Prefeito";"25";"ADRIANO ELI CORREA";"ELI CORREA FILHO";"DEM";"DEM / PMDB / PRTB / PEN / PSL / PC do B / PTN / PDT";"2";"Não eleito";"95161";"0";"3419660";"2,78";"30/10/2016 20:30:23"
